transID,blastNR,proteinID,geneName,CDSID,geneID
MSTRG.68.2.p2.p2,sp|Q16568|CART_HUMAN,Q16568,CARTPT,MSTRG.68.2.p2,MSTRG.68
Ler_372587.p2.p2,sp|P07096|APL2_PETMA,P07096,#N/A,Ler_372587.p2,nbisL1-mrna-65
MSTRG.318.1.p2.p2,sp|O02751|CFDP2_BOVIN,O02751,CFDP2,MSTRG.318.1.p2,MSTRG.318
Ler_38094.p1.p1,sp|O93209|POL_FFV,O93209,POL,Ler_38094.p1,nbisL1-mrna-27
MSTRG.214.1.p5.p1,sp|Q712K3|UB2R2_HUMAN,Q712K3,UBE2R2,MSTRG.214.1.p5,MSTRG.214
MSTRG.234.1.p1.p1,sp|Q6UUV9|CRTC1_HUMAN,Q6UUV9,CRTC1,MSTRG.234.1.p1,MSTRG.234
MSTRG.234.1.p1.p3,sp|O96011|PX11B_HUMAN,O96011,PEX11B,MSTRG.234.1.p1,MSTRG.234
MSTRG.399.1.p1.p1,sp|Q5FVC2|ARHG2_RAT,Q5FVC2,ARHGEF2,MSTRG.399.1.p1,MSTRG.399
MSTRG.128.4.p1.p1,sp|Q9CQY2|RAMAC_MOUSE,Q9CQY2,RAMAC,MSTRG.128.4.p1,MSTRG.128
Ler_92884.p1.p1,sp|Q8BGF9|S2544_MOUSE,Q8BGF9,SLC25A44,Ler_92884.p1,nbisL1-mrna-77
MSTRG.75.1.p1.p1,sp|Q66H19|SRFB1_RAT,Q66H19,SRFBP1,MSTRG.75.1.p1,MSTRG.75
MSTRG.341.1.p1.p1,sp|Q7SY06|HACD3_DANRE,Q7SY06,HACD3,MSTRG.341.1.p1,MSTRG.341
MSTRG.487.3.p1.p1,sp|Q7ZTW4|SGK1_DANRE,Q7ZTW4,SGK1,MSTRG.487.3.p1,MSTRG.487
MSTRG.718.1.p1.p1,sp|Q6AZN4|RM15_XENLA,Q6AZN4,MRPL15,MSTRG.718.1.p1,MSTRG.718
Ler_324738.p6.p6,sp|Q9GZU0|CF062_HUMAN,Q9GZU0,C6ORF62,Ler_324738.p6,nbisL1-mrna-334
MSTRG.420.1.p2.p2,sp|Q99J77|SIAS_MOUSE,Q99J77,NANS,MSTRG.420.1.p2,MSTRG.420
MSTRG.964.1.p1.p1,sp|P09967|GLB1_PETMA,P09967,#N/A,MSTRG.964.1.p1,MSTRG.964
Ler_293785.p2.p2,sp|P46734|MP2K3_HUMAN,P46734,MAP2K3,Ler_293785.p2,nbisL1-mrna-294
Ler_245843.p1.p1,sp|P30519|HMOX2_HUMAN,P30519,HMOX2,Ler_245843.p1,nbisL1-mrna-389
MSTRG.744.3.p1.p1,sp|B5SNZ6|ABRA_PIG,B5SNZ6,ABRA,MSTRG.744.3.p1,MSTRG.744
MSTRG.928.1.p1.p1,sp|Q8HXQ5|MRP1_BOVIN,Q8HXQ5,ABCC1,MSTRG.928.1.p1,MSTRG.928
MSTRG.928.1.p1.p12,sp|Q5F4B1|PGP_CHICK,Q5F4B1,PGP,MSTRG.928.1.p1,MSTRG.928
Ler_313465.p1.p1,sp|Q5PQK4|UIMC1_RAT,Q5PQK4,UIMC1,Ler_313465.p1,nbisL1-mrna-300
Ler_110420.p6.p1,sp|Q9Y6N1|COX11_HUMAN,Q9Y6N1,COX11,Ler_110420.p6,nbisL1-mrna-201
Ler_58580.p1.p1,sp|Q8HXX4|ECHB_MACFA,Q8HXX4,HADHB,Ler_58580.p1,nbisL1-mrna-169
Ler_58698.p1.p1,sp|O93257|XRCC6_CHICK,O93257,XRCC6,Ler_58698.p1,nbisL1-mrna-236
Ler_58698.p1.p2,sp|P23475|XRCC6_MOUSE,P23475,XRCC6,Ler_58698.p1,nbisL1-mrna-236
Ler_58698.p1.p3,sp|P12956|XRCC6_HUMAN,P12956,XRCC6,Ler_58698.p1,nbisL1-mrna-236
MSTRG.753.1.p1.p1,sp|P49416|SDC4_CHICK,P49416,SDC4,MSTRG.753.1.p1,MSTRG.753
MSTRG.1008.1.p4.p1,sp|A6NKP2|D42E2_HUMAN,A6NKP2,SDR42E2,MSTRG.1008.1.p4,MSTRG.1008
MSTRG.646.1.p1.p1,sp|O15066|KIF3B_HUMAN,O15066,KIF3B,MSTRG.646.1.p1,MSTRG.646
Ler_372615.p1.p1,sp|P10394|POL4_DROME,P10394,POL,Ler_372615.p1,nbisL1-mrna-114
MSTRG.783.1.p1.p1,sp|P08217|CEL2A_HUMAN,P08217,CELA2A,MSTRG.783.1.p1,MSTRG.783
MSTRG.848.1.p1.p1,sp|Q5SP50|ZCRB1_DANRE,Q5SP50,ZCRB1,MSTRG.848.1.p1,MSTRG.848
Ler_313408.p1.p1,sp|Q3ZBG5|BAG2_BOVIN,Q3ZBG5,BAG2,Ler_313408.p1,nbisL1-mrna-323
MSTRG.1011.9.p5.p2,sp|Q58A65|JIP4_MOUSE,Q58A65,SPAG9,MSTRG.1011.9.p5,MSTRG.1011
MSTRG.1011.9.p5.p3,sp|Q9ESN9|JIP3_MOUSE,Q9ESN9,MAPK8IP3,MSTRG.1011.9.p5,MSTRG.1011
Ler_313549.p2.p2,sp|A0JME2|MCAF1_DANRE,A0JME2,ATF7IP,Ler_313549.p2,nbisL1-mrna-310
MSTRG.1000.1.p3.p1,sp|P0CG20|PRR35_HUMAN,P0CG20,PRR35,MSTRG.1000.1.p3,MSTRG.1000
Ler_245802.p4.p4,sp|O35144|TERF2_MOUSE,O35144,TERF2,Ler_245802.p4,nbisL1-mrna-184
MSTRG.759.1.p1.p1,sp|O14490|DLGP1_HUMAN,O14490,DLGAP1,MSTRG.759.1.p1,MSTRG.759
MSTRG.814.1.p1.p1,sp|G4N292|RED3_PYRO7,G4N292,RED3,MSTRG.814.1.p1,MSTRG.814
Ler_38334.p1.p1,sp|A7E3W5|SNG2_BOVIN,A7E3W5,SYNGR2,Ler_38334.p1,nbisL1-mrna-139
MSTRG.1032.2.p1.p1,sp|O88427|CAC1H_MOUSE,O88427,CACNA1H,MSTRG.1032.2.p1,MSTRG.1032
MSTRG.1032.2.p1.p3,sp|O54898|CAC1G_RAT,O54898,CACNA1G,MSTRG.1032.2.p1,MSTRG.1032
MSTRG.967.1.p1.p1,sp|O95631|NET1_HUMAN,O95631,NTN1,MSTRG.967.1.p1,MSTRG.967
MSTRG.675.1.p1.p1,sp|Q8VCH7|RDH10_MOUSE,Q8VCH7,RDH10,MSTRG.675.1.p1,MSTRG.675
Ler_340199.p1.p5,sp|Q61473|SOX17_MOUSE,Q61473,SOX17,Ler_340199.p1,nbisL1-mrna-350
MSTRG.540.3.p1.p1,sp|Q9GKZ4|TRAM1_BOVIN,Q9GKZ4,TRAM1,MSTRG.540.3.p1,MSTRG.540
MSTRG.826.1.p1.p1,sp|Q6R5N8|TLR13_MOUSE,Q6R5N8,TLR13,MSTRG.826.1.p1,MSTRG.826
MSTRG.821.1.p2.p2,sp|Q762I5|RETN_BOVIN,Q762I5,RETN,MSTRG.821.1.p2,MSTRG.821
MSTRG.975.1.p8.p1,sp|Q16658|FSCN1_HUMAN,Q16658,FSCN1,MSTRG.975.1.p8,MSTRG.975
Ler_389079.p1.p1,sp|P20825|POL2_DROME,P20825,POL,Ler_389079.p1,nbisL1-mrna-376
Ler_324759.p1.p1,sp|Q7ZVJ8|MTL26_DANRE,Q7ZVJ8,METTL26,Ler_324759.p1,nbisL1-mrna-338
Ler_324759.p1.p4,sp|Q7ZVJ8|MTL26_DANRE,Q7ZVJ8,METTL26,Ler_324759.p1,nbisL1-mrna-338
Ler_340218.p1.p1,sp|Q86VZ4|LRP11_HUMAN,Q86VZ4,LRP11,Ler_340218.p1,nbisL1-mrna-158
MSTRG.792.1.p1.p1,sp|Q8AY73|XPO2_ORENI,Q8AY73,CSE1L,MSTRG.792.1.p1,MSTRG.792
MSTRG.616.1.p7.p3,sp|Q63ZU0|ADA_XENTR,Q63ZU0,ADA,MSTRG.616.1.p7,MSTRG.616
MSTRG.616.1.p7.p7,sp|Q5ZKP6|ADA_CHICK,Q5ZKP6,ADA,MSTRG.616.1.p7,MSTRG.616
